Age,Gender,Education,Years of Experience,Job Role,Industry,Workplace Setting,EI_Q1,EI_Q2,EI_Q3,EI_Q4,EI_Q5,EI_Q6,EI_Q7,EI_Q8,EI_Q9,EI_Q10,CR_Q1,CR_Q2,CR_Q3,CR_Q4,CR_Q5,CR_Q6,CR_Q7,CR_Q8,CR_Q9,CR_Q10,WO_Q1,WO_Q2,WO_Q3,WO_Q4,WO_Q5,WO_Q6,WO_Q7,WO_Q8,WO_Q9,WO_Q10,Open_Ended_1,Open_Ended_2,Open_Ended_3
43,Male,Undergraduate (UG),14 years,Individual Contributor/Employee,Information Technology (IT),Hybrid (Partially Remote),4,1,4,5,5,1,4,3,2,5,4,4,2,2,5,2,4,3,3,4,3,2,5,4,5,3,5,3,5,4,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
58,Male,Undergraduate (UG),35 years,Senior Management/Executive,Finance/Banking,On-Site,3,3,4,3,3,5,4,4,5,5,4,2,5,2,2,3,4,5,1,3,1,3,1,3,2,3,2,3,2,5,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.
48,Female,Undergraduate (UG),3 years,Individual Contributor/Employee,Finance/Banking,Hybrid (Partially Remote),5,2,1,1,5,4,5,2,3,2,2,4,3,4,4,3,3,4,4,4,4,1,4,3,3,5,3,3,4,4,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,Addressing conflicts directly but respectfully has improved my team’s productivity and morale.
45,Male,Undergraduate (UG),19 years,Team Lead,Other,Hybrid (Partially Remote),1,5,3,2,3,3,5,1,5,2,5,3,1,3,3,5,1,4,1,4,3,1,1,3,2,2,4,4,5,2,Our organization would benefit from regular sessions on emotional intelligence and communication skills.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.
46,Male,Undergraduate (UG),9 years,Manager/Supervisor,Other,Fully Remote,3,4,3,1,3,3,5,3,1,3,3,4,3,5,3,3,3,2,2,1,1,2,1,5,2,3,1,2,1,5,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all.",Training in emotional intelligence would help in reducing workplace stress and improving collaboration.
31,Male,Undergraduate (UG),8 years,Manager/Supervisor,Finance/Banking,Hybrid (Partially Remote),2,3,1,3,4,4,1,1,5,4,1,1,4,1,5,2,2,5,2,2,1,5,4,3,2,4,3,5,4,3,Recognizing cultural differences and addressing them with sensitivity has been crucial in resolving workplace conflicts.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.
26,Male,Postgraduate (PG),3 years,Team Lead,Finance/Banking,On-Site,4,5,5,2,3,5,4,3,2,2,5,3,3,5,4,2,2,1,1,4,1,5,4,5,5,1,2,5,4,5,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations."
55,Female,Undergraduate (UG),13 years,Manager/Supervisor,Finance/Banking,Hybrid (Partially Remote),4,2,2,4,2,1,3,2,2,4,4,2,4,4,1,4,4,4,3,3,3,2,1,2,1,2,4,2,3,5,I resolved a conflict with a colleague by understanding their emotional needs and explaining my perspective calmly.,Understanding my manager's expectations and being empathetic to their challenges helped me resolve a conflict.,"During a team dispute, I encouraged open communication, which helped us find a solution beneficial to all."
41,Male,Postgraduate (PG),17 years,Individual Contributor/Employee,Healthcare,On-Site,1,2,5,1,3,2,4,1,3,3,4,4,3,4,1,2,5,3,2,3,2,5,3,2,5,1,4,1,4,1,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.,Training in emotional intelligence would help in reducing workplace stress and improving collaboration.
26,Male,Postgraduate (PG),4 years,Senior Management/Executive,Education,On-Site,5,4,2,3,3,4,4,1,5,1,2,2,3,4,5,2,1,2,2,4,5,4,1,4,3,2,5,1,5,5,"Workshops on emotional intelligence could help teams work better together, especially in stressful situations.",I have found that actively listening and avoiding assumptions helps in resolving disputes effectively.,Managing my emotions and not reacting impulsively has been key to maintaining workplace harmony.
